
# time  N22        N23        
    0.        629.4861n  629.4852n 
   10.00000f    2.2957m    1.2256m 
   20.00000f    4.5907m    2.4506m 
   30.00000f    6.8858m    3.6756m 
   40.00000f    9.1808m    4.9006m 
   50.00000f   11.4759m    6.1256m 
   60.00000f   13.7709m    7.3506m 
   70.00000f   16.0660m    8.5756m 
   80.00000f   18.3610m    9.8006m 
   90.00000f   20.6561m   11.0256m 
  100.00000f   22.9511m   12.2505m 
  110.00000f   25.2462m   13.4755m 
  120.00000f   27.5412m   14.7005m 
  130.00000f   29.8363m   15.9255m 
  140.00000f   32.1313m   17.1505m 
  150.00000f   34.4264m   18.3755m 
  160.00000f   36.7214m   19.6005m 
  170.00000f   39.0165m   20.8255m 
  180.00000f   41.3115m   22.0505m 
  190.00000f   43.6066m   23.2755m 
  200.00000f   45.9016m   24.5005m 
  210.00000f   48.1967m   25.7255m 
  220.00000f   50.4917m   26.9504m 
  230.00000f   52.7868m   28.1754m 
  240.00000f   55.0818m   29.4004m 
  250.00000f   57.3769m   30.6254m 
  260.00000f   59.6719m   31.8504m 
  270.00000f   61.9670m   33.0754m 
  280.00000f   64.2620m   34.3004m 
  290.00000f   66.5571m   35.5254m 
  300.00000f   68.8521m   36.7504m 
  310.00000f   71.1472m   37.9754m 
  320.00000f   73.4422m   39.2004m 
  330.00000f   75.7373m   40.4254m 
  340.00000f   78.0323m   41.6503m 
  350.00000f   80.3274m   42.8753m 
  360.00000f   82.6224m   44.1003m 
  370.00000f   84.9175m   45.3253m 
  380.00000f   87.2125m   46.5503m 
  390.00000f   89.5076m   47.7753m 
  400.00000f   91.8026m   49.0003m 
  410.00000f   94.0977m   50.2253m 
  420.00000f   96.3927m   51.4503m 
  430.00000f   98.6878m   52.6753m 
  440.00000f  100.9828m   53.9003m 
  450.00000f  103.2779m   55.1253m 
  460.00000f  105.5729m   56.3502m 
  470.00000f  107.8680m   57.5752m 
  480.00000f  110.1630m   58.8002m 
  490.00000f  112.4581m   60.0252m 
  500.00000f  114.7531m   61.2502m 
  510.00000f  117.0482m   62.4752m 
  520.00000f  119.3432m   63.7002m 
  530.00000f  121.6383m   64.9252m 
  540.00000f  123.9333m   66.1502m 
  550.00000f  126.2284m   67.3752m 
  560.00000f  128.5234m   68.6002m 
